,Approach,Model Name,Model Size (kB),Best Hyperparameters,Hyperparameter Tuning Time (s),Train RMSE,Train R²,Training Time (s),Validation RMSE,Validation R²,Validation Time (s),Test RMSE,Test R²,Test Time (s)
9,custom,MLPRegressor,25.4287109375,"{'activation': 'relu', 'early_stopping': True, 'hidden_layer_sizes': (30, 15, 30), 'solver': 'lbfgs', 'tol': 0.001}",2.9754977226257324,61.41338525135509,0.991777516444763,2.037216901779175,100.7039762048356,0.9742924643070235,0.009046316146850586,83.66288602321562,0.9861595344775284,0.0020074844360351562
6,custom,GradientBoostingRegressor,1985.47265625,"{'learning_rate': 0.01, 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500, 'n_iter_no_change': 10, 'subsample': 1.0, 'tol': 0.001, 'validation_fraction': 0.2}",6.696597576141357,51.737069995432556,0.9937958842270964,5.989386320114136,102.21199895928984,0.9764684000226893,0.025539875030517578,84.54964608727721,0.9858645837386243,0.0040166378021240234
8,custom,KNeighborsRegressor,128.1513671875,"{'algorithm': 'auto', 'leaf_size': 2, 'n_neighbors': 2, 'p': 1, 'weights': 'uniform'}",2.0660548210144043,51.11506577591224,0.9941130835206268,0.028848648071289062,119.85438076961638,0.9574736410523108,0.015079259872436523,136.14873018646006,0.9633467740215346,0.0055332183837890625
4,custom,SVR,18.111328125,"{'C': 1000, 'epsilon': 30}",1.8468804359436035,227.81160676681833,0.886461740276842,0.1379411220550537,283.8542980377691,0.8230976028296375,0.039046525955200195,180.64896399172525,0.9354708470071892,0.01085972785949707
7,custom,DecisionTreeRegressor,6.728515625,"{'criterion': 'friedman_mse', 'max_depth': 10, 'max_features': None, 'max_leaf_nodes': 40, 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'best'}",0.8688061237335205,50.904523654004485,0.9940105992676604,0.023842573165893555,100.17771424461512,0.9729828825857183,0.008032798767089844,188.82524469483778,0.9294974011074644,0.0
5,custom,RandomForestRegressor,164.84765625,"{'bootstrap': False, 'max_depth': 9, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 10}",4.975801944732666,57.00848704495214,0.9925965900971214,0.21778368949890137,82.5907020747415,0.983506744161452,0.005431652069091797,196.47194509473007,0.9236716097052711,0.0
0,custom,LinearRegression,0.68359375,-,-,392.04796540107685,0.6681119288172819,0.027306318283081055,456.645549083274,0.5224692041377852,0.01347661018371582,336.7437748440822,0.7757749311708627,0.001997232437133789
2,custom,Lasso,0.7275390625,{'alpha': 10},0.03979897499084473,392.90271276165197,0.6666730410298577,0.01001429557800293,441.9827606397906,0.5608287990145067,0.009003877639770508,339.91478649065766,0.7715321324207263,0.00140380859375
1,custom,Ridge,0.650390625,{'alpha': 100},0.0395207405090332,396.3631996501886,0.6607606464372554,0.0168454647064209,424.9993188011229,0.5991577613243251,0.014025211334228516,342.2170217741661,0.7684268362979259,0.0020072460174560547
3,custom,ElasticNet,0.732421875,"{'alpha': 1, 'l1_ratio': 0.7}",0.13228178024291992,407.8566669301502,0.6407699172572408,0.0005197525024414062,421.310407901139,0.6093911409554382,0.007871866226196289,363.64177507883016,0.7385235667519001,0.0
