,feature,correlation_with_target
new_cases,new_cases,0.7899835069473353
new_tests,new_tests,0.6752734145317738
new_vaccinations,new_vaccinations,0.22794205445814802
reproduction_rate,reproduction_rate,-0.03571371976700214
stringency_index,stringency_index,0.5228416469405479
people_vaccinated,people_vaccinated,-0.40956856701906325
people_fully_vaccinated,people_fully_vaccinated,-0.45405886562685505
total_boosters,total_boosters,-0.4080492640069408
total_cases,total_cases,-0.25396568528903135
new_cases_smoothed,new_cases_smoothed,0.8320806926207711
total_deaths,total_deaths,-0.25256463658835454
new_deaths_smoothed,new_deaths_smoothed,0.9921354738840563
total_cases_per_million,total_cases_per_million,-0.2539656852890314
new_cases_per_million,new_cases_per_million,0.7899835069473358
new_cases_smoothed_per_million,new_cases_smoothed_per_million,0.8320806926207709
total_deaths_per_million,total_deaths_per_million,-0.25256463658835454
new_deaths_per_million,new_deaths_per_million,0.9999999999999994
new_deaths_smoothed_per_million,new_deaths_smoothed_per_million,0.9921354738840557
icu_patients,icu_patients,
icu_patients_per_million,icu_patients_per_million,
hosp_patients,hosp_patients,
hosp_patients_per_million,hosp_patients_per_million,
weekly_icu_admissions,weekly_icu_admissions,
weekly_icu_admissions_per_million,weekly_icu_admissions_per_million,
weekly_hosp_admissions,weekly_hosp_admissions,
weekly_hosp_admissions_per_million,weekly_hosp_admissions_per_million,
total_tests,total_tests,-0.3570842052466422
total_tests_per_thousand,total_tests_per_thousand,-0.35708420524664225
new_tests_per_thousand,new_tests_per_thousand,0.6752734145317725
new_tests_smoothed,new_tests_smoothed,0.6821625155908991
new_tests_smoothed_per_thousand,new_tests_smoothed_per_thousand,0.6821625155908997
positive_rate,positive_rate,0.718915990602012
tests_per_case,tests_per_case,-0.1934209756183935
total_vaccinations,total_vaccinations,-0.4375657490052271
new_vaccinations_smoothed,new_vaccinations_smoothed,0.2312309298537009
total_vaccinations_per_hundred,total_vaccinations_per_hundred,-0.43756574900522754
people_vaccinated_per_hundred,people_vaccinated_per_hundred,-0.40956856701906375
people_fully_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,-0.45405886562685543
total_boosters_per_hundred,total_boosters_per_hundred,-0.4080492640069417
new_vaccinations_smoothed_per_million,new_vaccinations_smoothed_per_million,0.23123092985370053
new_people_vaccinated_smoothed,new_people_vaccinated_smoothed,0.32932091216295806
new_people_vaccinated_smoothed_per_hundred,new_people_vaccinated_smoothed_per_hundred,0.3293209121629579
population_density,population_density,1.7209689747771695e-17
median_age,median_age,1.7209689747771695e-17
aged_65_older,aged_65_older,
aged_70_older,aged_70_older,1.7209689747771695e-17
gdp_per_capita,gdp_per_capita,1.7209689747771695e-17
extreme_poverty,extreme_poverty,1.7209689747771695e-17
cardiovasc_death_rate,cardiovasc_death_rate,1.7209689747771695e-17
diabetes_prevalence,diabetes_prevalence,1.7209689747771695e-17
female_smokers,female_smokers,1.7209689747771695e-17
male_smokers,male_smokers,
handwashing_facilities,handwashing_facilities,1.7209689747771695e-17
hospital_beds_per_thousand,hospital_beds_per_thousand,-1.7209689747771695e-17
life_expectancy,life_expectancy,1.7209689747771695e-17
human_development_index,human_development_index,
population,population,
excess_mortality_cumulative_absolute,excess_mortality_cumulative_absolute,
excess_mortality_cumulative,excess_mortality_cumulative,
excess_mortality,excess_mortality,
excess_mortality_cumulative_per_million,excess_mortality_cumulative_per_million,
new_people_vaccinated,new_people_vaccinated,0.31355615324351443
