,feature,permutation_importance,single_feature_impact,mutual_information_importance,combined_importance,vif
0,new_cases,0.2908771449029116,0.983368204985314,3.3527436460694546,1.5423296653192267,inf
1,new_cases_per_million,0.27904982907783776,0.9833682049869701,3.3492435937858187,1.5372205426168755,inf
2,total_cases,0.00127601506601831,0.9991116606773608,3.444211775197888,1.4815331503137557,inf
3,total_cases_per_million,0.0017274993243058256,0.9991195389693266,3.4407913938063492,1.4805461440333272,inf
4,total_deaths,0.0010314259783375634,0.9990710861953318,3.4092190656350203,1.4697738592695633,inf
5,total_deaths_per_million,0.0015415530125323818,0.9990608503778625,3.4061937258545436,1.4689320430816462,inf
6,people_vaccinated_per_hundred,0.0027216411224849856,0.9283985138493723,2.8176490024341265,1.2495897191353278,inf
7,people_vaccinated,0.0018687645357997162,0.9284001420670555,2.804569202171452,1.2449460362581024,inf
8,total_tests,0.0018541368803617563,0.9991087031746161,2.589046385675368,1.1966697419101153,225.30966256046227
9,total_vaccinations,0.0012750462882583635,0.9283245422081818,2.6464294552483194,1.1920096812482532,656.8268605713885
10,stringency_index,0.272558381531297,0.6790216168775918,1.8757320370132837,0.9424373451407243,4.231495403245219
11,tests_per_case,0.034732060308876524,0.9004943600220446,1.7616856607757683,0.8989706937022298,1.9603198375823994
12,new_people_vaccinated,0.013607053506777022,0.8258349459722099,1.241919520875987,0.693787173451658,3.1720929719187176
13,new_tests,0.021742424065502863,0.9088072076140564,1.1094980978075926,0.6800159098290507,4.235049478401269
