,feature,permutation_importance,single_feature_impact,mutual_information_importance,combined_importance,vif
0,new_cases_per_million,0.34800933745607665,0.8151436549416963,0.4262864383623368,0.5298131435867033,810616132.455813
1,new_cases,0.21619843254723242,0.81516074264616,0.40876609453832646,0.48004175657723963,810616497.2189271
2,new_tests_smoothed,0.006364892583178672,0.7626277851819646,0.10198931935369071,0.29032733237294467,15111.34950369749
3,new_tests,0.02028964868378298,0.7782700196590748,0.04224351091564582,0.2802677264195012,38210.49995724745
4,total_tests,0.0017242585493672635,0.7576887954171929,0.0660984573539638,0.275170503773508,14643566621.69969
5,total_tests_per_thousand,0.001698110682994014,0.7581014236608199,0.06232581806839921,0.2740417841374044,14643566621.69969
6,tests_per_case,0.0078606039708085,0.653180007689214,0.043572022380061526,0.23487087801336134,4.722608237200386
7,new_deaths_smoothed,0.13943200736154993,0.21784599025240947,0.25341431107286727,0.2035641028956089,12634.32035957328
8,people_fully_vaccinated,0.0013032704799908813,0.4802545039970899,0.08276027070602421,0.188106015061035,123232658.86196278
9,new_vaccinations,0.026324972441397133,0.4842077819416658,0.05242666354456915,0.18765313930921068,8.385857873842445
10,total_vaccinations,0.0006691392726453138,0.48449361269912594,0.06896949028765231,0.18471074741980786,760947427.8434695
11,new_people_vaccinated_smoothed,0.008954886414382402,0.4904262018369139,0.04280190078608381,0.18072766301246004,1200.1303219793456
12,new_vaccinations_smoothed,0.0041268924185486,0.4861075162823302,0.04020018220731725,0.176811530302732,37742740.77262149
13,total_vaccinations_per_hundred,0.002112131843520104,0.48438094660441455,0.04380443393082345,0.17676583745958604,667742052.4174435
14,people_fully_vaccinated_per_hundred,0.001978184650492243,0.4673864681791413,0.059480493335325235,0.1762817153883196,101855375.04368497
15,people_vaccinated,0.0007085843150754334,0.4861923243916526,0.03977892322746346,0.17555994397806382,236549676.51926208
16,people_vaccinated_per_hundred,0.0008518041996677494,0.47161755339570655,0.05315796143006235,0.1752091063418122,209924470.92409942
17,new_vaccinations_smoothed_per_million,0.0066984059111179885,0.446295688385005,0.048251543784183504,0.1670818793601022,37737677.080628745
18,stringency_index,0.005268398222173265,0.38929940333443747,0.08940858695821152,0.1613254628382741,15.167047743371052
19,new_deaths_smoothed_per_million,0.12438488573388509,0.16757168770355513,0.18822130583391772,0.16005929309045264,12653.773368652319
20,new_cases_smoothed_per_million,0.01960228335149137,0.25662777838474793,0.10835530160921181,0.12819512111515038,66309758.10939279
21,new_cases_smoothed,0.01702824891071355,0.26147638201955403,0.08559147123988176,0.12136536739004977,66313333.12189656
22,new_tests_per_thousand,0.016893595268392937,0.3052651428768174,0.03068954719956718,0.11761609511492584,38007.58529357598
23,reproduction_rate,0.05380354171804058,0.2131117228625664,0.024984926842264166,0.09730006380762372,4.248705816423751
24,new_tests_smoothed_per_thousand,0.012467795800387971,0.22378205256064143,0.05553250381646535,0.09726078405916493,14802.292607079658
25,total_deaths_per_million,0.0010155419226934859,0.2184427800469564,0.06318168466998664,0.0942133355465455,2994930395.1747646
26,total_deaths,0.002241867908684392,0.21844505826969463,0.048792713352556305,0.08982654651031179,2994775054.292103
27,total_cases,0.002648581905169456,0.21850271458806625,0.047260358479620734,0.08947055165761882,20105355479332.57
28,total_cases_per_million,0.0009507312700505644,0.21850271459974313,0.04550601352563621,0.08831981979847664,20105355479332.57
29,total_boosters_per_hundred,0.0015225912538332053,0.11402341316912001,0.10338728288973975,0.07297776243756432,17825354.84592597
30,total_boosters,0.0009087661395569934,0.12027792315010122,0.04709689465345246,0.05609452798103689,19249620.558217313
31,new_people_vaccinated_smoothed_per_hundred,0.003804227634252877,0.08775068935217845,0.04783144087515634,0.04646211928719588,1218.6436148142113
32,positive_rate,0.0006139877528628546,0.04044035310737637,0.04559296983486405,0.028882436898367756,11.120242945367671
33,female_smokers,0.0,-2.3598472775221424e-05,0.041604090736343746,0.013860164087856175,9.130119784101715e-13
34,median_age,0.0,-2.3598472775221424e-05,2.6645352591003757e-15,-7.866157590852296e-06,2.762527132306324e-10
35,life_expectancy,0.0,-2.3598472775221424e-05,2.6645352591003757e-15,-7.866157590852296e-06,5.571617198151187e-12
36,gdp_per_capita,0.0,-2.3598472775221424e-05,2.6645352591003757e-15,-7.866157590852296e-06,4.984204729958864e-13
37,cardiovasc_death_rate,0.0,-2.3598472775221424e-05,2.6645352591003757e-15,-7.866157590852296e-06,2.711272053097202e-12
38,extreme_poverty,0.0,-2.3598472775221424e-05,2.6645352591003757e-15,-7.866157590852296e-06,9.435082731784312e-12
39,handwashing_facilities,0.0,-2.3598472775221424e-05,2.6645352591003757e-15,-7.866157590852296e-06,6.882534585619031e-13
40,aged_70_older,0.0,-2.3598472775221424e-05,0.0,-7.866157591740475e-06,1.2517028701247433e-11
41,diabetes_prevalence,0.0,-2.3598472775221424e-05,0.0,-7.866157591740475e-06,7.421571031098256e-13
42,hospital_beds_per_thousand,0.0,-2.3598472775221424e-05,0.0,-7.866157591740475e-06,4.374996655273674e-13
