,feature,permutation_importance,single_feature_impact,mutual_information_importance,combined_importance,vif
0,new_cases_per_million,0.32690595204170664,0.8084671526393201,0.38218485586595463,0.5058526535156604,74088.30371661323
1,new_cases,0.2516288286679713,0.8082388633358679,0.3818397193230987,0.4805691371089793,74104.37531172088
2,total_cases_per_million,0.011909048280973989,0.8090867517275648,0.08037466690435568,0.30045682230429815,2248.0767341912697
3,new_tests,0.043398678546104553,0.7797924436186815,0.0692039663113535,0.2974650294920465,83.30967880410218
4,new_tests_smoothed,0.04373801890568372,0.7683955514182241,0.06293637961030463,0.29168998331140417,167.42705446703172
5,new_deaths_smoothed,0.3789148556391263,0.21859187773111455,0.27728476001825086,0.29159716446283057,14.828908545752794
6,total_tests_per_thousand,0.0008458634230782858,0.7596286057572328,0.07768759630068711,0.2793873551603327,55448709414.6895
7,total_tests,0.0013811191588390726,0.7593993944725883,0.04998348614234427,0.27025466659125724,55448026733.77282
8,total_deaths_per_million,0.007385835137612084,0.667624831572397,0.076021443179771,0.2503440366299267,4302.67699338024
9,tests_per_case,0.010762025549042976,0.649765240963124,0.065671927620504,0.24206639804422367,9.111582853046055
10,new_vaccinations,0.03097428840613119,0.488193313912641,0.060514025510990166,0.19322720927658743,11.340687665881834
11,new_people_vaccinated_smoothed,0.03550516315116596,0.48527579630331497,0.05511549087547429,0.1919654834433184,16.898111866349627
12,total_vaccinations_per_hundred,0.002514738363425284,0.47844078161309456,0.09121106255479816,0.190722194177106,1835048395.2984097
13,total_vaccinations,0.0026013854576272034,0.4764198222834052,0.08156486508439365,0.186862024275142,1834911947.716045
14,new_vaccinations_smoothed,0.03059941024947783,0.47933246056093215,0.045536103563863506,0.18515599145809117,35.46161418454003
15,people_fully_vaccinated_per_hundred,0.0027355834462281735,0.459199289025243,0.07823346285112454,0.18005611177419856,267639988.25408223
16,people_fully_vaccinated,0.0011489288577918532,0.47109525984525646,0.061091166796505725,0.17777845183318466,267595858.28710747
17,new_cases_smoothed_per_million,0.1196631058000791,0.312068488127177,0.10102851910602073,0.1775867043444256,22.04339273150015
18,people_vaccinated,0.0022169461309879514,0.47922138103886713,0.04849148469398035,0.17664327062127846,1666.7943133001725
19,stringency_index,0.013050948377339843,0.38518295048796114,0.12033627474723829,0.17285672453751308,6.228950021536007
