,Approach,Model Name,Model Size (kB),Best Hyperparameters,Hyperparameter Tuning Time (s),Train RMSE,Train R²,Training Time (s),Validation RMSE,Validation R²,Validation Time (s),Test RMSE,Test R²,Test Time (s)
7,standard,DecisionTreeRegressor,2.583984375,"{'criterion': 'squared_error', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'best'}",3.579853773,155.9274838,0.895316848,0.043679237,201.0203344,0.801422124,0.020622253,222.8582881,0.81654075,0.003329515
5,standard,RandomForestRegressor,28.56542969,"{'bootstrap': False, 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 8}",29.22791219,99.62518752,0.953489506,0.305140018,217.9097734,0.751156573,0.035874605,238.3734491,0.790107078,0.004744053
6,standard,GradientBoostingRegressor,486.2138672,"{'learning_rate': 0.01, 'max_depth': 3, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 400, 'n_iter_no_change': 10, 'subsample': 1.0, 'tol': 0.001, 'validation_fraction': 0.2}",21.43169522,149.4474795,0.899589139,6.669189215,234.4475769,0.726532472,0.054093361,242.0529263,0.783577352,0.004507065
4,standard,SVR,11.09570313,"{'C': 1000, 'epsilon': 20}",6.353511095,212.2514657,0.807252256,0.404488087,241.0964626,0.732008909,0.06940937,278.9712988,0.712524339,0.011356831
8,standard,KNeighborsRegressor,144.0478516,"{'algorithm': 'auto', 'leaf_size': 2, 'n_neighbors': 2, 'p': 2, 'weights': 'uniform'}",13.26235867,143.1004059,0.911694133,0.034964323,252.3471076,0.683710033,0.048103809,366.4963579,0.503840446,0.008042336
1,standard,Ridge,0.697265625,{'alpha': 10},0.638381243,324.6380859,0.551850768,0.021337271,326.6594417,0.519929689,0.033070087,406.0509347,0.390963864,0.002880096
3,standard,ElasticNet,0.806640625,"{'alpha': 0.1, 'l1_ratio': 0.9}",0.442522287,324.6289878,0.551875869,0.021055698,326.6750866,0.519750926,0.016148329,406.0543935,0.390953488,0.002508879
0,standard,LinearRegression,0.744140625,-,-,324.604067,0.551944536,0.015910149,326.8057622,0.518700636,0.016246557,406.1443585,0.390683579,0.002684832
2,standard,Lasso,0.794921875,{'alpha': 1},0.127390146,324.6319057,0.551868102,0.020435572,326.7117119,0.519180927,0.016939163,406.1848818,0.390561983,0.002670288
9,standard,MLPRegressor,7.491210938,"{'activation': 'relu', 'early_stopping': True, 'hidden_layer_sizes': (50,), 'solver': 'lbfgs', 'tol': 0.001}",13.9316287,132.2709118,0.924672107,1.650031805,280.596458,0.61541756,0.022538185,419.3404607,0.350445541,0.008269548
